web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,etat,adresse,prix,image_lien-src,description
"1738613786-5","https://www.expat-dakar.com/equipements-pieces?page=41","ECRAN DELL 19""TOUT NEUF
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 16:49
                                    
                    75 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236","https://www.expat-dakar.com/annonce/ecran-dell-19tout-neuf-3616061","ECRAN DELL 19""TOUT NEUF","Neuf","Colobane
            
                Dakar","75 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/66ca918407cabf3def90fb5629b2056d/-/horizon-files-prod/ed/picture/q2vg20g/1581a2946828d4aef3f60ec7c59e4c9c6972df4b.jpg","Je vend mon écran 19 pouces dell P1917SC avec les spécificités suivants: Le moniteur IPS P1917S 19"" 5:4 de Dell est construit avec un panneau de commutation dans le plan (IPS) qui vous offre des angles de vision larges de 178° et des couleurs vives Surface de l'écran 14,8 x 11,8"" / 37,5 x 30 cm Résolution 1280 x 1024. Ports: Display, HDMI, VGA, USB"
"1738613798-6","https://www.expat-dakar.com/equipements-pieces?page=41","Convertisseur Allume Cigare 12V vers prise secteur 220V
                                Neuf
                                                                                    Hann Bel-Air,
                                                                                Dakar
                                    
                                        14. janv., 09:54
                                    
                    15 000 F Cfa
                        
                        775160371
                    
                        784319494","https://www.expat-dakar.com/annonce/convertisseur-allume-cigare-12v-vers-prise-secteur-220v-4057440","Convertisseur Allume Cigare 12V vers prise secteur 220V","Neuf","Hann Bel-Air
            
                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b2006edd28746398c94096c13ee80209/-/horizon-files-prod/ed/picture/qdpdekw/17c249ca8bcc07ce724a19d5b8293ecccf348187.jpg","Convertisseur électrique allume cigare 12 volts vers prise secteur 220V - 5A 60W"
"1738613798-353","https://www.expat-dakar.com/equipements-pieces?page=8","Housse de voiture de luxe 5 places
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        14. janv., 14:04
                                    
                    60 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/housse-de-voiture-de-luxe-5-places-6028069","Housse de voiture de luxe 5 places","Neuf","Grand-Dakar
            
                Dakar","60 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0af05b46e7d6bbc493d97e9aac456c75/-/horizon-files-prod/ed/picture/q0gw426w/8673bb26658f6bb331ea3774faaacd07597126c1.jpg","confortable et luxueux rend vos housses de siège magnifiques et confortables. Ces ensembles de housses de siège durable et doux de haute qualité, renforcé de 3 mm de mousse respirante pour disperser la chaleur et vous permettre de vous sentir à l'aise et au frais. Il se veut une protection complète pour votre siège et confortable à utiliser.

Livraison possible

Montage gratuite à la boutique"
"1738613809-7","https://www.expat-dakar.com/equipements-pieces?page=41","Outil d'activation du capteur de pneus TPMS
                                Neuf
                                                                                    Mbour,
                                                                                Thiès
                                    
                                        16. déc. '24, 20:10
                                    
                    25 000 F Cfa
                        
                        774086089
                    
                        778540224","https://www.expat-dakar.com/annonce/outil-dactivation-du-capteur-de-pneus-tpms-4058878","Outil d'activation du capteur de pneus TPMS","Neuf","Mbour
            
                Thiès","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e889379dacdb534c923df9c7083717f3/-/horizon-files-prod/ed/picture/qmevgrd/0df2a83342a5255d22beb04a83cfba2f4111b5af.jpg","Outil d'activation du capteur des pneus.

Pour les véhicules GM de 2010 à 2014.

Je fais parvenir la notice si intéressée."
"1738613819-8","https://www.expat-dakar.com/equipements-pieces?page=41","Antivol bloque volant pour voiture
                                Neuf
                                                                                    Mbour,
                                                                                Thiès
                                    
                                        16. déc. '24, 20:09
                                    
                    40 000 F Cfa
                        
                        774086089
                    
                        778540224","https://www.expat-dakar.com/annonce/antivol-bloque-volant-pour-voiture-4173281","Antivol bloque volant pour voiture","Neuf","Mbour
            
                Thiès","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3e0ae4a7cdb338fda3593be00b6b2446/-/horizon-files-prod/ed/picture/qjeen2d/257838dd3000cf52fa938555ee7422439fafce26.jpg","Antivol bloque volant pour voiture.

Empêche la rotation du volant.

Montage rapide et facile.

Livré avec deux clés de sécurité."
"1738613819-354","https://www.expat-dakar.com/equipements-pieces?page=7","Vente
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        15. janv., 14:40
                                    
                    35 000 F Cfa
                        
                        762677987","https://www.expat-dakar.com/annonce/vente-6250827","Vente","Neuf","Plateau
            
                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7bfb5f284911981a77c18d4218139f3c/-/horizon-files-prod/ed/picture/qngpv54z/b7cb9c7c3189428f258d3197639641b058d88017.jpg","Housse voiture bonne qualité

Prix en gros"
"1738613830-9","https://www.expat-dakar.com/equipements-pieces?page=41","BOITE MERCEDES
                                D'occasion
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 18:56
                                    
                    200 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236","https://www.expat-dakar.com/annonce/boite-mercedes-4788420","BOITE MERCEDES","D'occasion","Colobane
            
                Dakar","200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dbac50b4db54bb07067baa7ff8776f96/-/horizon-files-prod/ed/picture/qe6w8w2/185cb2ea0c86cff246595ec1ac975d1370211f8b.jpg","NOUS VENDONS UNE BOITE MERCEDES COMPLETS CONTACTER NOUS POUR TOUT INFORMATIONS.."
"1738613830-355","https://www.expat-dakar.com/equipements-pieces?page=7","Bâche moto
                                Neuf
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        15. janv., 23:03
                                    
                    8 000 F Cfa
                        
                        778428588
                    
                        767500527
                    
                        338327372","https://www.expat-dakar.com/annonce/bache-moto-6256936","Bâche moto","Neuf","Hann maristes
            
                Dakar","8 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/23ead4bcb6a881f3caa6d2c05e94b0a8/-/horizon-files-prod/ed/picture/qkr8kdv8/c505cd1458cc03433d50ef27110cfa586c826ab7.jpg","Solide importée waterproof

Adresse de la boutique Hann Mariste vers la banque Cbao livraison possible"
"1738613835-356","https://www.expat-dakar.com/equipements-pieces?page=7","Casque
                                Neuf
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        15. janv., 23:03
                                    
                    35 000 F Cfa
                        
                        778428588
                    
                        767500527
                    
                        338327372","https://www.expat-dakar.com/annonce/casque-6256932","Casque","Neuf","Hann maristes
            
                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d851be286e678ae2e6f62b50535c1cc5/-/horizon-files-prod/ed/picture/qrz8wk42/79fa5fffb31b2f6ded75c8c50d9ec4fff9f3d47e.jpg","Modulaire avec double visières

Adresse de la boutique Hann Mariste vers la banque Cbao livraison possible"
"1738613836-10","https://www.expat-dakar.com/equipements-pieces?page=41","Bâches auto
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        13. janv., 12:02
                                    
                    25 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-auto-4868906","Bâches auto","Neuf","Liberte 6
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac5ac6c1ff058bc8fdc3ca1900e41f9c/-/horizon-files-prod/ed/picture/qwd7rxd/4cb817a20255bd3c9ac38654ea0bbaafaad6642c.jpg","BÂCHES  4×4:(couvre-voiture) en pvc,en plus d'être imperméable à l'eau ,ce Bâche est fabriqué à partir de ma technologie des coutures ultrasonique pour éviter les trois d'épingle et empêche l'eau de s'infiltrer dans la couture.

C'est une housse de protection respirant et doublé à l'intérieur de coton doux .

La Bâche est légère et ne pèse pas plus de 5kg dans son emballage.

NB:les prix commencent à partir du prix affiché,livraison possible partout dans le senegal ."
"1738613848-357","https://www.expat-dakar.com/equipements-pieces?page=7","GPS Tracker Voiture et Moto
                                Neuf
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        16. janv., 10:37
                                    
                    40 000 F Cfa
                        
                        775747519","https://www.expat-dakar.com/annonce/gps-tracker-voiture-et-moto-6257385","GPS Tracker Voiture et Moto","Neuf","Ouest foire
            
                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b46d40b5977eb85780a407b4930b6d8/-/horizon-files-prod/ed/picture/q56dnqv2/fd1e1ba88deb399eef18a3f19e2e9830b2869bdc.png","Avec nos balises gps ne perdez plus le contrôle sur votre véhicule ou votre moto.

Grâce à une application simple d'utilisation, localisez en temps réel votre véhicule et sécuriser votre investissement."
"1738613857-11","https://www.expat-dakar.com/equipements-pieces?page=40","Lecteur mp3 pour voiture
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        13. janv., 11:59
                                    
                    6 500 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/lecteur-mp3-pour-voiture-4983904","Lecteur mp3 pour voiture","Neuf","Liberte 6
            
                Dakar","6 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5895f8b872dde8750031c2cb9bacf3f7/-/horizon-files-prod/ed/picture/q945mr8/379676e3254ece95b849de1b053c97edcb3b42e5.jpg","Le lecteur mp3 t10 Bluetooth est un appareil conçu pour les voitures.

Il est équipé d'un module Bluetooth professionnel haute qualité et d'une puce de décodeur. En effet il peut lire;transmettre la musique de votre téléphone à l'autoradio via Bluetooth. Il est également utilisé comme kit voitures main libre pendant les déplacements

Il peut aussi recevoir ou emmetre des appels depuis votre smartphone. Il est équipé d'un port usb3.0 pour le chargement d'un téléphone.

Livraison possible partout au senegal"
"1738613857-358","https://www.expat-dakar.com/equipements-pieces?page=7","GPS Tracker Moto
                                Neuf
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        16. janv., 10:42
                                    
                    25 000 F Cfa
                        
                        775747519","https://www.expat-dakar.com/annonce/gps-tracker-moto-6257398","GPS Tracker Moto","Neuf","Ouest foire
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ad1a8e500ba6c21326b6b45297ea0848/-/horizon-files-prod/ed/picture/qrz8wm08/ffcea9bcf5b24689c90886a7d51a2d61bc2f58a2.png","Avec nos balises gps ne perdez plus le contrôle sur votre moto.

Grâce à une application simple d'utilisation, localisez la en temps réel et sécuriser votre investissement."
"1738613868-12","https://www.expat-dakar.com/equipements-pieces?page=40","Chargeur sans fil auto
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        lundi, 12:37
                                    
                    7 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/chargeur-sans-fil-auto-3772127","Chargeur sans fil auto","Neuf","Grand-Dakar
            
                Dakar","7 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/630ca8aed819bc74b052ab96fa5dd457/-/horizon-files-prod/ed/picture/qnqd980/8e355d413f858043d798b2c1f09cdebecff74d8e.jpg","Wiwu liberateur il est un petit support pour smartphone doté d'un support d'aspiration et d'une fonction de charge sans fil. l'accessoire vous permet de fixer confortablement le gadget dans n'importe quelle voiture, éliminant ainsi le risque de chute. la puissance maximale du modèle atteint 10 w et la norme qui est utilisée pour la charge. livraison possible"
"1738613868-359","https://www.expat-dakar.com/equipements-pieces?page=7","HUILE  MOTEUR SAE50 15W40 (5L)
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        16. janv., 10:42
                                    
                        776399636","https://www.expat-dakar.com/annonce/huile-moteur-sae50-15w40-5l-5831172","HUILE  MOTEUR SAE50 15W40 (5L)","Neuf","Colobane
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/84ceca1c77348ac9c178c5ad48c4ef4a/-/horizon-files-prod/ed/picture/qwezv9vg/dc3cd14c65e9220a3a9aa42c869d8ac102ba68d8.jpg","HUILE  MOTEUR SAE50 15W40 (5L) disponible en stock

Vente pour toute les qualites

L'huile vous offre une performance supérieure et une meilleure protection, une plus longue durée de vie du moteur et un confort de conduite plus doux dans les conditions climatiques locales."
"1738613879-13","https://www.expat-dakar.com/equipements-pieces?page=40","Bache auto 4×4 pvc doublé en coton
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        13. janv., 11:56
                                    
                    25 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/bache-auto-44-pvc-double-en-coton-4998928","Bache auto 4×4 pvc doublé en coton","Neuf","Liberte 6
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/44ae58da76ac5dafa3bcd14025be8da8/-/horizon-files-prod/ed/picture/qwqnjkm/724ea9ce34a970be62277de8a8961fe1fd238a41.jpg","Couvre-voiture en pvc extrêmement imperméable à l'eau .ce Bâche est fabriqué à partir de la technologie des coutures ultrasonique pour éviter les trous d'épingle et empêche l'eau de s'infiltrer dans la couture. C'est une housse de protection respirant,imperméable et doublé à l'intérieur de coton doux.

La Bâche est légère et ne pèse pas plus 5kg dans son emballage.

Ces Bâches sont très utiles dans cette période d'hivernage,de poussière,de pluie,de soleil

Les prix commencent à partir du prix affiché

Livraison possible partout au senegal"
"1738613879-360","https://www.expat-dakar.com/equipements-pieces?page=7","HUILE  MOTEUR ATF (1L)
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        16. janv., 10:43
                                    
                        776399636","https://www.expat-dakar.com/annonce/huile-moteur-atf-1l-5831167","HUILE  MOTEUR ATF (1L)","Neuf","Colobane
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/41307fa9471e69f1da55387e8ebfbc90/-/horizon-files-prod/ed/picture/q787ede8/df85ac7e7d2b4fac4815908d48dfe41fdd172524.jpg","HUILE  MOTEUR ATF (1L) disponible en stock

Vente pour toute les qualites

L'huile vous offre une performance supérieure et une meilleure protection, une plus longue durée de vie du moteur et un confort de conduite plus doux dans les conditions climatiques locales."
"1738613890-14","https://www.expat-dakar.com/equipements-pieces?page=40","Bache auto berline
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        18. déc. '24, 10:37
                                    
                    20 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/bache-auto-berline-4998939","Bache auto berline","Neuf","Liberte 6
            
                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a16d229ce8959dcad45c82ed246202ef/-/horizon-files-prod/ed/picture/q2p85wd/25e7c99c09795e60d63825c37daa59a03b3855a3.jpg","Couvre-voiture en pvc extrêmement imperméable à l'eau. Ce Bâche est fabriqué à partir de la nouvelle technologie des coutures ultrasonique pour éviter les trous d'épingle et empêche l'eau de s'infiltrer dans les coutures c'est une housse de protection respirant imperméable et doublé en coton doux.

La Bâche est légère et ne pèse pas plus de 5kg dans son emballage Ce qui veut dire c'est pas encombrant.

Les prix commencent à partir du prix affiché

Livraison possible partout au senegal"
"1738613891-361","https://www.expat-dakar.com/equipements-pieces?page=7","HUILE MOTEUR 10W40 4 TEMPS
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        16. janv., 10:43
                                    
                        776399636","https://www.expat-dakar.com/annonce/huile-moteur-10w40-4-temps-5806504","HUILE MOTEUR 10W40 4 TEMPS","Neuf","Colobane
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f4fb35d5cf4056ab23ccfe6f09b215c/-/horizon-files-prod/ed/picture/q9m8q5p0/b701349732b06cc45c791a4e22ecce246449909f.jpg","HUILE MOTEUR 10W40 4 TEMPS disponible en stock

Vente pour toute les qualites

L'huile vous offre une performance supérieure et une meilleure protection, une plus longue durée de vie du moteur et un confort de conduite plus doux dans les conditions climatiques locales."
"1738613901-15","https://www.expat-dakar.com/equipements-pieces?page=40","Maxy compresseur Air 35L
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        17. janv., 14:55
                                    
                    1 F Cfa
                        
                        782126969","https://www.expat-dakar.com/annonce/maxy-compresseur-air-35l-5055814","Maxy compresseur Air 35L","Neuf","Plateau
            
                Dakar","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd331a330e2e930dd634760bfacdab3e/-/horizon-files-prod/ed/picture/qk9ve4z/3ef8ba0ff61b8b8f6b50d5fa37fb4ab954ed9ac0.jpg","MAXI REVOLUTION'AIR 35L 3HP

Ce compresseur de puissance élevée (3HP) et de grande cuve (35 litres) est adapté à tous les types de travaux importants (peinture, mécanique,...). Il est simple à entretenir (sans huile), facile à déplacer (grandes roues) et facile à ranger (vertical). Il possède une desserte range-outils qui peut être dissociée et un dispositif range câble. Doté de 2 sorties rapides pour travaux multiples et équipé d'un kit de soufflage-dépoussiérage.

Volume cuve

35 LPuissance

3 HPAir restitué à 7 bar

150 L/mn

PRODUIT"
"1738613901-362","https://www.expat-dakar.com/equipements-pieces?page=7","HUILE  MOTEUR 15W40
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        16. janv., 10:44
                                    
                        776399636","https://www.expat-dakar.com/annonce/huile-moteur-15w40-5806524","HUILE  MOTEUR 15W40","Neuf","Colobane
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5ab0e27e63367d46474bf139d4db6e46/-/horizon-files-prod/ed/picture/qv4p6g22/5b066cc532e8557cd1f688b9245b9f2b5eea5dba.jpg","HUILE  MOTEUR 15W40 disponible en stock

Vente pour toute les qualites

L'huile vous offre une performance supérieure et une meilleure protection, une plus longue durée de vie du moteur et un confort de conduite plus doux dans les conditions climatiques locales."
"1738613911-16","https://www.expat-dakar.com/equipements-pieces?page=40","Chargeur AC voiture 12V  câble USB 1 mètre
                                Neuf
                                                                                    Golf,
                                                                                Dakar
                                    
                                        13. janv., 09:13
                                    
                    1 000 F Cfa
                        
                        784485061
                    
                        784074746
                    
                        774526008","https://www.expat-dakar.com/annonce/chargeur-ac-voiture-12v-cable-usb-1-metre-5079781","Chargeur AC voiture 12V  câble USB 1 mètre","Neuf","Golf
            
                Dakar","1 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/30ed564b3474e7caf09d294fd8a63216/-/horizon-files-prod/ed/picture/qjvg4zr/c19fa8e717e67eaa7413ff31ae311a688b9c0661.jpg","DURACELL Chargeur AC voiture 12V 1A avec cable micro USB 1 mètre"
